Journal Title,ISSN (Print),ISSN (Online),Categories
"Sexual development : genetics, molecular biology, evolution, endocrinology, embryology, and pathology of sex determination and differentiation.",1661-5425,1661-5433,Behavioral Sciences
Behavior research methods.,1554-351X,1554-3528,Behavioral Sciences
Journal of lesbian studies.,1089-4160,1540-3548,Behavioral Sciences
International journal of behavioral medicine.,1070-5503,1532-7558,Behavioral Sciences
Archives of suicide research : official journal of the International Academy for Suicide Research.,1381-1118,1543-6136,Behavioral Sciences
Annals of behavioral medicine : a publication of the Society of Behavioral Medicine.,0883-6612,1532-4796,Behavioral Sciences
The International journal of eating disorders.,0276-3478,1098-108X,Behavioral Sciences
Journal of behavioral medicine.,0160-7715,1573-3521,Behavioral Sciences
Crisis.,0227-5910,2151-2396,Behavioral Sciences
Aggressive behavior.,0096-140X,1098-2337,Behavioral Sciences
Journal of homosexuality.,0091-8369,1540-3602,Behavioral Sciences
Behavioural processes.,0376-6357,1872-8308,Behavioral Sciences
Journal of health and social behavior.,0022-1465,2150-6000,Behavioral Sciences
Journal of applied behavior analysis.,0021-8855,1938-3703,Behavioral Sciences
Journal of the experimental analysis of behavior.,0022-5002,1938-3711,Behavioral Sciences
Psychometrika.,0033-3123,1860-0980,Behavioral Sciences
"Pharmacology, biochemistry, and behavior.",0091-3057,1873-5177,Behavioral Sciences; Biochemistry; Pharmacology; Psychopharmacology
"Brain, behavior and evolution.",0006-8977,1421-9743,Behavioral Sciences; Biology; Brain
Neurobiology of learning and memory.,1074-7427,1095-9564,Behavioral Sciences; Biology; Neurology
Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior.,,1474-7049,Behavioral Sciences; Biology; Psychology
Brain and behavior.,,2162-3279,Behavioral Sciences; Brain
Behavioral and brain functions : BBF.,,1744-9081,Behavioral Sciences; Brain
Behavioural brain research.,0166-4328,1872-7549,Behavioral Sciences; Brain
Brain imaging and behavior.,1931-7557,1931-7565,Behavioral Sciences; Brain; Diagnostic Imaging
"Genes, brain, and behavior.",1601-1848,1601-183X,Behavioral Sciences; Brain; Genetics
Cortex; a journal devoted to the study of the nervous system and behavior.,0010-9452,1973-8102,Behavioral Sciences; Brain; Neurology
The Behavioral and brain sciences.,0140-525X,1469-1825,Behavioral Sciences; Brain; Neurology; Psychology
Journal of nutrition education and behavior.,1499-4046,1878-2620,Behavioral Sciences; Education; Nutritional Sciences
Health education & behavior : the official publication of the Society for Public Health Education.,1090-1981,1552-6127,Behavioral Sciences; Education; Public Health
Hormones and behavior.,0018-506X,1095-6867,Behavioral Sciences; Endocrinology
Behavior genetics.,0001-8244,1573-3297,Behavioral Sciences; Genetics
The Journal of genetic psychology.,0022-1325,1940-0896,Behavioral Sciences; Genetics; Psychology
The journal of behavioral health services & research.,1094-3412,1556-3308,Behavioral Sciences; Health Services; Health Services Research
Journal of the history of the behavioral sciences.,0022-5061,1520-6696,Behavioral Sciences; History of Medicine
Behavioral sciences & the law.,0735-3936,1099-0798,Behavioral Sciences; Jurisprudence
Law and human behavior.,0147-7307,1573-661X,Behavioral Sciences; Jurisprudence
Translational behavioral medicine.,1869-6716,1613-9860,Behavioral Sciences; Medicine; Public Health
Current topics in behavioral neurosciences.,1866-3370,1866-3389,Behavioral Sciences; Neurology
"Cognitive, affective & behavioral neuroscience.",1530-7026,1531-135X,Behavioral Sciences; Neurology
"Journal of comparative physiology. A, Neuroethology, sensory, neural, and behavioral physiology.",0340-7594,1432-1351,Behavioral Sciences; Neurology
Epilepsy & behavior : E&B.,1525-5050,1525-5069,Behavioral Sciences; Neurology
Behavioural neurology.,0953-4180,1875-8584,Behavioral Sciences; Neurology
Behavioral neuroscience.,0735-7044,1939-0084,Behavioral Sciences; Neurology
Neuroscience and biobehavioral reviews.,0149-7634,1873-7528,Behavioral Sciences; Neurology
Neurocase.,1355-4794,1465-3656,Behavioral Sciences; Neurology; Psychiatry; Psychology
Eating behaviors.,1471-0153,1873-7358,Behavioral Sciences; Nutritional Sciences
Appetite.,0195-6663,1095-8304,Behavioral Sciences; Nutritional Sciences
The international journal of behavioral nutrition and physical activity.,,1479-5868,Behavioral Sciences; Nutritional Sciences; Sports Medicine
Infant behavior & development.,0163-6383,1879-0453,Behavioral Sciences; Pediatrics
Journal of developmental and behavioral pediatrics : JDBP.,0196-206X,1536-7312,Behavioral Sciences; Pediatrics
Advances in child development and behavior.,0065-2407,,Behavioral Sciences; Pediatrics
Infant mental health journal.,0163-9641,1097-0355,Behavioral Sciences; Pediatrics; Psychology
Journal of youth and adolescence.,0047-2891,1573-6601,Behavioral Sciences; Pediatrics; Psychology
Behavioural pharmacology.,0955-8810,1473-5849,Behavioral Sciences; Pharmacology
Physiology & behavior.,0031-9384,1873-507X,Behavioral Sciences; Physiology; Psychophysiology
Journal of behavioral addictions.,2062-5871,2063-5303,Behavioral Sciences; Psychiatry
Journal of child sexual abuse.,1053-8712,1547-0679,Behavioral Sciences; Psychiatry
Behavioural and cognitive psychotherapy.,1352-4658,1469-1833,Behavioral Sciences; Psychiatry
Behavioral medicine.,0896-4289,1940-4026,Behavioral Sciences; Psychiatry
Journal of sex & marital therapy.,0092-623X,1521-0715,Behavioral Sciences; Psychiatry
Suicide & life-threatening behavior.,0363-0234,1943-278X,Behavioral Sciences; Psychiatry
