Journal Title,ISSN (Print),ISSN (Online),Categories
Molecular cancer therapeutics.,1535-7163,1538-8514,Antineoplastic Agents
Anti-cancer drugs.,0959-4973,1473-5741,Antineoplastic Agents
Anti-cancer agents in medicinal chemistry.,1871-5206,1875-5992,Antineoplastic Agents; Chemistry
Current cancer drug targets.,1568-0096,1873-5576,Antineoplastic Agents; Neoplasms
Cancer chemotherapy and pharmacology.,0344-5704,1432-0843,Antineoplastic Agents; Neoplasms
Cancer treatment reviews.,0305-7372,1532-1967,Antineoplastic Agents; Neoplasms
Gan to kagaku ryoho. Cancer & chemotherapy.,0385-0684,,Antineoplastic Agents; Neoplasms
Investigational new drugs.,0167-6997,1573-0646,Antineoplastic Agents; Pharmacology
Cancer research communications.,,2767-9764,Neoplasms
JNCI cancer spectrum.,,2515-5091,Neoplasms
Cancer communications.,,2523-3548,Neoplasms
Cancer reports.,,2573-8348,Neoplasms
JCO oncology practice.,2688-1527,2688-1535,Neoplasms
JCO global oncology.,,2687-8941,Neoplasms
Nature cancer.,,2662-1347,Neoplasms
Oncology research and treatment.,2296-5270,2296-5262,Neoplasms
JAMA oncology.,2374-2437,2374-2445,Neoplasms
Trends in cancer.,2405-8033,2405-8025,Neoplasms
JMIR cancer.,,2369-1999,Neoplasms
JCO precision oncology.,,2473-4284,Neoplasms
JCO clinical cancer informatics.,,2473-4276,Neoplasms
Cancer biology & medicine.,2095-3941,,Neoplasms
CNS oncology.,2045-0907,2045-0915,Neoplasms
Cancer medicine,,2045-7634,Neoplasms
Chinese clinical oncology.,2304-3865,2304-3873,Neoplasms
Cancer cytopathology.,1934-662X,1934-6638,Neoplasms
Nature reviews. Clinical oncology.,1759-4774,1759-4782,Neoplasms
"Clinical lymphoma, myeloma & leukemia.",2152-2650,2152-2669,Neoplasms
Oncotarget.,,1949-2553,Neoplasms
Journal of gastric cancer.,2093-582X,2093-5641,Neoplasms
Cancer discovery.,2159-8274,2159-8290,Neoplasms
Journal of cancer survivorship : research and practice.,1932-2259,1932-2267,Neoplasms
Cancer prevention research.,1940-6207,1940-6215,Neoplasms
The Gulf journal of oncology.,2078-2101,2521-3881,Neoplasms
Future oncology.,1479-6694,1744-8301,Neoplasms
Targeted oncology.,1776-2596,1776-260X,Neoplasms
Experimental oncology.,1812-9269,2312-8852,Neoplasms
Asia-Pacific journal of clinical oncology.,1743-7555,1743-7563,Neoplasms
Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico.,1699-048X,1699-3055,Neoplasms
Cancer cell.,1535-6108,1878-3686,Neoplasms
Molecular cancer.,,1476-4598,Neoplasms
